,ranking,name,country,score
0,1,哈佛大学,美国,100.0
1,2,斯坦福大学,美国,75.9
2,3,剑桥大学,英国,70.6
3,4,麻省理工学院,美国,69.5
4,5,加州大学-伯克利,美国,66.0
5,6,普林斯顿大学,美国,59.7
6,7,牛津大学,英国,59.2
7,8,哥伦比亚大学,美国,58.0
8,9,加州理工学院,美国,57.9
9,10,芝加哥大学,美国,54.7
10,11,耶鲁大学,美国,53.6
11,12,康奈尔大学,美国,50.3
12,13,巴黎-萨克雷大学,法国,49.4
13,14,加州大学-洛杉矶,美国,48.9
14,15,宾夕法尼亚大学,美国,47.8
15,16,约翰霍普金斯大学,美国,47.6
16,17,伦敦大学学院,英国,47.3
17,18,加州大学-圣地亚哥,美国,46.3
18,19,华盛顿大学-西雅图,美国,46.2
19,20,加州大学-旧金山,美国,44.6
20,21,苏黎世联邦理工学院,瑞士,44.4
21,22,多伦多大学,加拿大,41.3
22,23,华盛顿大学-圣路易斯,美国,40.7
23,24,东京大学,日本,40.6
24,25,帝国理工学院,英国,40.5
25,26,密歇根大学-安娜堡,美国,40.1
26,27,纽约大学,美国,39.6
27,28,清华大学,中国,39.5
28,29,北卡罗来纳大学-教堂山,美国,38.1
29,30,哥本哈根大学,丹麦,37.7
30,31,威斯康星大学-麦迪逊,美国,37.6
31,32,杜克大学,美国,37.5
32,33,墨尔本大学,澳大利亚,37.1
33,34,西北大学（埃文斯顿）,美国,36.5
34,35,索邦大学,法国,35.7
35,35,曼彻斯特大学,英国,35.7
36,37,京都大学,日本,35.6
37,38,巴黎文理研究大学,法国,35.2
38,38,爱丁堡大学,英国,35.2
39,40,明尼苏达大学-双城,美国,35.1
40,41,德克萨斯州大学奥斯汀分校,美国,34.8
41,42,卡罗林斯卡学院,瑞典,34.6
42,42,洛克菲勒大学,美国,34.6
43,42,英属哥伦比亚大学,加拿大,34.6
44,45,北京大学,中国,34.5
45,46,科罗拉多大学-玻尔得,美国,33.8
46,47,伦敦国王学院,英国,33.5
47,48,德克萨斯大学西南医学中心,美国,33.2
48,48,慕尼黑大学,德国,33.2
49,50,乌得勒支大学,荷兰,33.0
50,51,昆士兰大学,澳大利亚,32.5
51,52,慕尼黑工业大学,德国,32.3
52,52,浙江大学,中国,32.3
53,54,苏黎世大学,瑞士,32.2
54,55,伊利诺伊大学厄巴纳-香槟分校,美国,32.1
55,56,马里兰大学-大学城,美国,31.9
56,57,海德堡大学,德国,31.4
57,57,加州大学-圣塔芭芭拉,美国,31.4
58,59,上海交通大学,中国,30.9
59,60,日内瓦大学,瑞士,30.8
60,61,奥斯陆大学,挪威,30.7
61,61,南加州大学,美国,30.7
62,63,中国科学技术大学,中国,30.2
63,64,格罗宁根大学,荷兰,30.0
64,65,新南威尔士大学,澳大利亚,29.9
65,65,范德堡大学,美国,29.9
66,67,麦吉尔大学,加拿大,29.6
67,67,德克萨斯大学安德森肿瘤中心,美国,29.6
68,69,悉尼大学,澳大利亚,29.5
69,70,加州大学-欧文,美国,29.3
70,71,奥胡斯大学,丹麦,29.1
71,71,根特大学,比利时,29.1
72,73,巴黎大学,法国,29.0
73,74,斯德哥尔摩大学,瑞典,28.9
74,75,新加坡国立大学,新加坡,28.8
75,76,澳大利亚国立大学,澳大利亚,28.5
76,77,复旦大学,中国,28.4
77,78,布里斯托尔大学,英国,28.3
78,78,乌普萨拉大学,瑞典,28.3
79,80,莫纳什大学,澳大利亚,28.2
80,81,南洋理工大学,新加坡,27.9
81,82,赫尔辛基大学,芬兰,27.8
82,83,莱顿大学,荷兰,27.7
83,84,名古屋大学,日本,27.3
84,84,波恩大学,德国,27.3
85,86,普渡大学-西拉法叶,美国,27.2
86,87,鲁汶大学（佛兰德语）,比利时,27.1
87,87,巴塞尔大学,瑞士,27.1
88,89,中山大学,中国,26.9
89,90,耶路撒冷希伯来大学,以色列,26.7
90,91,洛桑联邦理工学院,瑞士,26.6
91,92,麦克马斯特大学,加拿大,26.5
92,92,魏茨曼科学研究学院,以色列,26.5
93,94,以色列理工学院,以色列,26.4
94,95,波士顿大学,美国,26.2
95,96,西澳大利亚大学,澳大利亚,26.1
96,97,卡内基梅隆大学,美国,26.0
97,97,莫斯科国立大学,俄罗斯,26.0
98,97,佛罗里达大学,美国,26.0
99,100,加州大学-戴维斯,美国,25.9
100,101-150,艾克斯-马赛大学,法国,
101,101-150,亚利桑那州立大学,美国,
102,101-150,布朗大学,美国,
103,101-150,凯斯西储大学,美国,
104,101-150,埃莫里大学,美国,
105,101-150,伊拉兹马斯大学,荷兰,
106,101-150,佐治亚理工学院,美国,
107,101-150,华中科技大学,中国,
108,101-150,西奈山医学院,美国,
109,101-150,印第安纳大学-布鲁明顿,美国,
110,101-150,阿卜杜勒阿齐兹国王大学,沙特阿拉伯,
111,101-150,沙特国王大学,沙特阿拉伯,
112,101-150,梅奥医学院,美国,
113,101-150,密歇根州立大学,美国,
114,101-150,南京大学,中国,
115,101-150,挪威科学技术大学,挪威,
116,101-150,宾夕法尼亚州立大学-大学城,美国,
117,101-150,奈梅亨大学,荷兰,
118,101-150,莱斯大学,美国,
119,101-150,罗格斯大学新布朗斯维克分校,美国,
120,101-150,首尔国立大学,韩国,
121,101-150,香港中文大学,中国香港,
122,101-150,俄亥俄州立大学-哥伦布,美国,
123,101-150,阿德雷德大学,澳大利亚,
124,101-150,香港大学,中国香港,
125,101-150,谢菲尔德大学,英国,
126,101-150,东京工业大学,日本,
127,101-150,格勒诺布尔大学,法国,
128,101-150,布鲁塞尔自由大学（法语）,比利时,
129,101-150,阿尔伯塔大学,加拿大,
130,101-150,阿姆斯特丹大学,荷兰,
131,101-150,亚利桑那大学,美国,
132,101-150,伯尔尼大学,瑞士,
133,101-150,伯明翰大学,英国,
134,101-150,弗莱堡大学,德国,
135,101-150,哥廷根大学,德国,
136,101-150,哥德堡大学,瑞典,
137,101-150,洛桑大学,瑞士,
138,101-150,利兹大学,英国,
139,101-150,利物浦大学,英国,
140,101-150,蒙特利尔大学,加拿大,
141,101-150,诺丁汉大学,英国,
142,101-150,匹兹堡大学,美国,
143,101-150,圣保罗大学,巴西,
144,101-150,斯特拉斯堡大学,法国,
145,101-150,犹他大学,美国,
146,101-150,华威大学,英国,
147,101-150,阿姆斯特丹自由大学,荷兰,
148,101-150,瓦格宁根大学,荷兰,
149,101-150,西安交通大学,中国,
150,151-200,贝勒医学院,美国,
151,151-200,北京理工大学,中国,
152,151-200,卡迪夫大学,英国,
153,151-200,鲁汶大学（法语）,比利时,
154,151-200,中南大学,中国,
155,151-200,香港城市大学,中国香港,
156,151-200,代尔夫特理工大学,荷兰,
157,151-200,法兰克福大学,德国,
158,151-200,哈尔滨工业大学,中国,
159,151-200,北海道大学,日本,
160,151-200,吉林大学,中国,
161,151-200,伦敦政治经济学院,英国,
162,151-200,隆德大学,瑞典,
163,151-200,西北工业大学,中国,
164,151-200,大阪大学,日本,
165,151-200,罗马第一大学,意大利,
166,151-200,山东大学,中国,
167,151-200,四川大学,中国,
168,151-200,苏州大学,中国,
169,151-200,华南理工大学,中国,
170,151-200,东南大学,中国,
171,151-200,丹麦技术大学,丹麦,
172,151-200,特拉维夫大学,以色列,
173,151-200,德州农工大学,美国,
174,151-200,香港理工大学,中国香港,
175,151-200,卡尔加里大学,加拿大,
176,151-200,格拉斯哥大学,英国,
177,151-200,天津大学,中国,
178,151-200,东北大学（仙台）,日本,
179,151-200,同济大学,中国,
180,151-200,都柏林三一学院,爱尔兰,
